txn_id,failure_reason,retry_count,resolved
TXN0000002,Bank server timeout,1,False
TXN0000004,Invalid VPA,0,False
TXN0000015,Account blocked,1,False
TXN0000058,Invalid VPA,2,True
TXN0000067,Insufficient balance,0,False
TXN0000078,Insufficient balance,2,True
TXN0000098,Account blocked,0,False
TXN0000107,Network error,0,True
TXN0000133,Insufficient balance,1,False
TXN0000162,Account blocked,3,False
TXN0000183,Bank server timeout,3,True
TXN0000188,Network error,1,False
TXN0000200,Network error,1,False
TXN0000202,Daily limit exceeded,1,False
TXN0000206,Daily limit exceeded,1,False
TXN0000219,Daily limit exceeded,1,False
TXN0000222,Invalid VPA,2,False
TXN0000260,Invalid VPA,3,False
TXN0000295,Daily limit exceeded,3,True
TXN0000305,Account blocked,2,True
TXN0000311,Account blocked,0,False
TXN0000327,Network error,2,False
TXN0000335,Bank server timeout,1,True
TXN0000348,Network error,2,True
TXN0000356,Account blocked,0,False
TXN0000360,Network error,0,True
TXN0000380,Daily limit exceeded,0,True
TXN0000417,Account blocked,0,False
TXN0000420,Bank server timeout,2,False
TXN0000428,Bank server timeout,1,True
TXN0000437,Insufficient balance,1,False
TXN0000445,Network error,0,True
TXN0000458,Network error,2,False
TXN0000460,Account blocked,1,False
TXN0000480,Bank server timeout,1,False
TXN0000498,Bank server timeout,2,True
TXN0000503,Invalid VPA,2,False
TXN0000571,Bank server timeout,3,False
TXN0000610,Bank server timeout,2,True
TXN0000617,Account blocked,3,True
TXN0000653,Network error,0,False
TXN0000657,Daily limit exceeded,2,False
TXN0000674,Insufficient balance,2,True
TXN0000676,Insufficient balance,1,False
TXN0000682,Account blocked,3,False
TXN0000691,Insufficient balance,2,True
TXN0000706,Network error,3,False
TXN0000709,Network error,0,True
TXN0000711,Network error,2,False
TXN0000722,Daily limit exceeded,0,False
TXN0000723,Network error,3,False
TXN0000750,Invalid VPA,2,False
TXN0000752,Network error,2,True
TXN0000763,Bank server timeout,0,True
TXN0000768,Bank server timeout,1,False
TXN0000776,Daily limit exceeded,0,False
TXN0000796,Bank server timeout,1,True
TXN0000798,Network error,0,True
TXN0000803,Account blocked,0,False
TXN0000804,Network error,3,False
TXN0000814,Account blocked,0,False
TXN0000845,Network error,3,False
TXN0000849,Network error,0,True
TXN0000861,Account blocked,2,False
TXN0000884,Network error,2,False
TXN0000900,Bank server timeout,2,False
TXN0000947,Insufficient balance,3,True
TXN0000948,Network error,0,False
TXN0000952,Account blocked,0,False
TXN0000959,Bank server timeout,1,False
TXN0000960,Daily limit exceeded,0,False
TXN0000971,Daily limit exceeded,0,True
TXN0000977,Invalid VPA,2,False
TXN0000998,Network error,2,False
TXN0001009,Insufficient balance,1,False
TXN0001024,Bank server timeout,3,False
TXN0001036,Daily limit exceeded,0,False
TXN0001047,Daily limit exceeded,3,False
TXN0001061,Account blocked,1,True
TXN0001062,Network error,3,False
TXN0001078,Network error,2,False
TXN0001079,Insufficient balance,3,True
TXN0001083,Network error,0,True
TXN0001088,Invalid VPA,2,False
TXN0001111,Network error,1,True
TXN0001175,Daily limit exceeded,3,True
TXN0001177,Network error,3,False
TXN0001189,Invalid VPA,1,False
TXN0001200,Account blocked,1,False
TXN0001204,Bank server timeout,0,False
TXN0001206,Insufficient balance,0,False
TXN0001254,Account blocked,0,False
TXN0001259,Account blocked,0,True
TXN0001261,Invalid VPA,3,False
TXN0001266,Network error,0,False
TXN0001273,Bank server timeout,0,False
TXN0001317,Insufficient balance,0,True
TXN0001323,Bank server timeout,0,False
TXN0001353,Daily limit exceeded,2,True
TXN0001354,Account blocked,1,False
TXN0001403,Insufficient balance,3,False
TXN0001404,Bank server timeout,2,True
TXN0001413,Bank server timeout,0,False
TXN0001428,Bank server timeout,1,False
TXN0001435,Account blocked,0,False
TXN0001437,Daily limit exceeded,0,False
TXN0001478,Insufficient balance,2,False
TXN0001480,Bank server timeout,2,False
